doc_typ_proc_id|doc_typ_id|init_rte_node_id|nm|init_ind|ver_nbr|
2005.0|2011|2004.0|PRIMARY|1.0|2.0|
2007.0|2012|2006.0|PRIMARY|1.0|2.0|
2040.0|2023|2039.0|PRIMARY|1.0|1.0|
2044.0|2024|2041.0|PRIMARY|1.0|1.0|
2058.0|2029|2057.0|PRIMARY|1.0|1.0|
2060.0|2030|2059.0|PRIMARY|1.0|1.0|
2062.0|2031|2061.0|PRIMARY|1.0|1.0|
2064.0|2032|2063.0|PRIMARY|1.0|1.0|
2066.0|2033|2065.0|PRIMARY|1.0|1.0|
2068.0|2034|2067.0|PRIMARY|1.0|1.0|
2345.0|2282|2344.0|PRIMARY|1.0|1.0|
2582.0|2440|2580.0|PRIMARY|1.0|1.0|
2841.0|2680|2840.0|PRIMARY|1.0|2.0|
2851.0|2683|2846.0|PRIMARY|1.0|1.0|
2894.0|2704|2892.0|PRIMARY|1.0|4.0|
2897.0|2707|2895.0|PRIMARY|1.0|1.0|
2900.0|2995|2898.0|PRIMARY|1.0|1.0|
2903.0|2996|2901.0|PRIMARY|1.0|1.0|
2907.0|2997|2904.0|PRIMARY|1.0|1.0|
2909.0|2998|2908.0|PRIMARY|1.0|1.0|
2911.0|2999|2910.0|PRIMARY|1.0|1.0|
